Context ; Answer
На какие программы осуществляется набор в бакалавриат в 2022г.? ; На три программы:  1)Педагогическое образование (иностранный язык (английский)) (заочная форма обучения), 2)Педагогическое образование (с двумя профилями подготовки) (Иностранный язык (английский) и Иностранный язык (китайский)) (очно), и «Зарубежное регионоведение. Американские исследования» (очно). Ссылка: https://www.s-vfu.ru/abit/detail.php?SECTION_ID=5618
На какие программы будет набор в бакалавриат в 2022г.? ; На три программы:  1)Педагогическое образование (иностранный язык (английский)) (заочная форма обучения), 2)Педагогическое образование (с двумя профилями подготовки) (Иностранный язык (английский) и Иностранный язык (китайский)) (очно), и «Зарубежное регионоведение. Американские исследования» (очно). Ссылка: https://www.s-vfu.ru/abit/detail.php?SECTION_ID=5619
На какие программы проходит набор в бакалавриат в 2022г.? ; На три программы:  1)Педагогическое образование (иностранный язык (английский)) (заочная форма обучения), 2)Педагогическое образование (с двумя профилями подготовки) (Иностранный язык (английский) и Иностранный язык (китайский)) (очно), и «Зарубежное регионоведение. Американские исследования» (очно). Ссылка: https://www.s-vfu.ru/abit/detail.php?SECTION_ID=5620
программы набор в бакалавриат в 2022г. ; На три программы:  1)Педагогическое образование (иностранный язык (английский)) (заочная форма обучения), 2)Педагогическое образование (с двумя профилями подготовки) (Иностранный язык (английский) и Иностранный язык (китайский)) (очно), и «Зарубежное регионоведение. Американские исследования» (очно). Ссылка: https://www.s-vfu.ru/abit/detail.php?SECTION_ID=5621
На какие программы осуществляется набор в магистратуру в 2022г.? ; 1)Иностранный язык в профессиональной коммуникации (очно-заочная форма), 2)Мониторинг и оценка качества языкового образования (на английском языке), и 3) Технологии преподавания иностранных языков. Ссылка: https://www.s-vfu.ru/abit/detail.php?SECTION_ID=5773
На какие программы будет набор в магистратуру в 2022г.? ; 1)Иностранный язык в профессиональной коммуникации (очно-заочная форма), 2)Мониторинг и оценка качества языкового образования (на английском языке), и 3) Технологии преподавания иностранных языков. Ссылка: https://www.s-vfu.ru/abit/detail.php?SECTION_ID=5774
На какие программы проходит набор в магистратуру в 2022г.? ; 1)Иностранный язык в профессиональной коммуникации (очно-заочная форма), 2)Мониторинг и оценка качества языкового образования (на английском языке), и 3) Технологии преподавания иностранных языков. Ссылка: https://www.s-vfu.ru/abit/detail.php?SECTION_ID=5775
программы набор в магистратуру в 2022г. ; 1)Иностранный язык в профессиональной коммуникации (очно-заочная форма), 2)Мониторинг и оценка качества языкового образования (на английском языке), и 3) Технологии преподавания иностранных языков. Ссылка: https://www.s-vfu.ru/abit/detail.php?SECTION_ID=5776
Каковы вступительные экзамены на программу бакалавриата «Зарубежное регионоведение. Американские исследования» ; "Перечень вступительных испытаний для поступающих на базе среднего образования (ЕГЭ):
История (ЕГЭ),  Иностранный язык (английский) (ЕГЭ) ,  Русский язык (ЕГЭ) Перечень вступительных испытаний для СПО или ВО: История ,  Иностранный язык (английский) ,  Русский язык
"
Каковы вступительные испытания на программу бакалавриата «Зарубежное регионоведение. Американские исследования» ; "Перечень вступительных испытаний для поступающих на базе среднего образования (ЕГЭ):
История (ЕГЭ) ,  Иностранный язык (английский) (ЕГЭ) ,  Русский язык (ЕГЭ) Перечень вступительных испытаний для СПО или ВО: История ,  Иностранный язык (английский) ,  Русский язык
"
Каковы вступительные экзамены на программу магистратуры «Иностранный язык в профессиональной коммуникации» (очно-заочная форма)? ; Собеседование - 65 б.
Каковы вступительные испытания на программу магистратуры Иностранный язык в профессиональной коммуникации? ; Собеседование - 65 б.
Каковы вступительные экзамены на программу магистратуры «Мониторинг и оценка качества языкового образования (на английском языке)»? ; Тест по английскому языку - 65 б.
Каковы вступительные испытания на программу магистратуры Мониторинг и оценка качества языкового образования (на английском языке)? ; Тест по английскому языку - 65 б.
Каковы вступительные экзамены на программу магистратуры «Технологии преподавания иностранных языков»? ; Мотивационное письмо - 65 б.
Каковы вступительные испытания на программу магистратуры Технологии преподавания иностранных языков? ; Мотивационное письмо - 65 б.
Когда начнется приемная кампания? ; Приемная кампания начинается 20 июня 2022г.
Когда будет примная кампания? ; Приемная кампания начинается 20 июня 2022г.
Как можно подать документы? ; "Лично поступающим или через доверенное лицо
В электронной форме в личном кабинете абитуриента на сайте https://priem.s-vfu.ru/
Через сервис «Поступление в вуз онлайн» посредством системы «Единый портал государственных и муниципальных услуг»
Почтой - 677 000 г. Якутск, ул. Белинского д.48, Приемная комиссия СВФУ."
Как подавать документы? ; "Лично поступающим или через доверенное лицо
В электронной форме в личном кабинете абитуриента на сайте https://priem.s-vfu.ru/
Через сервис «Поступление в вуз онлайн» посредством системы «Единый портал государственных и муниципальных услуг»
Почтой - 677 000 г. Якутск, ул. Белинского д.48, Приемная комиссия СВФУ."
Подача документов ; "Лично поступающим или через доверенное лицо
В электронной форме в личном кабинете абитуриента на сайте https://priem.s-vfu.ru/
Через сервис «Поступление в вуз онлайн» посредством системы «Единый портал государственных и муниципальных услуг»
Почтой - 677 000 г. Якутск, ул. Белинского д.48, Приемная комиссия СВФУ."
Отправка документов ; "Лично поступающим или через доверенное лицо
В электронной форме в личном кабинете абитуриента на сайте https://priem.s-vfu.ru/
Через сервис «Поступление в вуз онлайн» посредством системы «Единый портал государственных и муниципальных услуг»
Почтой - 677 000 г. Якутск, ул. Белинского д.48, Приемная комиссия СВФУ."
Какие документы нужны при поступлении? ; " Личное заявление о поступлении: заявление о приеме на обучение с приложением необходимых документов, заверенное личной подписью. В заявлении о приеме также указывается СНИЛС  (при наличии)
 Паспорт: копия страниц 2, 3,5
 Аттестат / диплом: оригинал или копия (обязательно), с приложением
 СНИЛС: копия или номер. Если отсутствует - нужно предоставить уникальный идентификационный номер
 Медицинская справка 086у/302н: оригинал или копия
 ИНН: копия или номер
 Фотография 3х4 4шт./цифровая
 Индивидуальные достижения: копии
При поступлении на целевое обучение:
 Договор о целевом обучении: копия с предоставлением оригинала
 Согласие представителя на заключение договора о целевом обучении: еслин на момент заключения договора абитуриенту нет 18 лет
Для поступающих по особой квоте:
 Документы, подтверждающие льготную категорию: копии (дети-инвалиды 1 и 2 групп, инвалиды с детства, инвалиды вследствие военной травмы/заболевания, полученного в период прохождения военной службы, дети-сироты/оставшиеся без попечения родителей, ветераны боевых действий).
"
Список нужных документов для поступления ; " Личное заявление о поступлении: заявление о приеме на обучение с приложением необходимых документов, заверенное личной подписью. В заявлении о приеме также указывается СНИЛС  (при наличии)
 Паспорт: копия страниц 2, 3,5
 Аттестат / диплом: оригинал или копия (обязательно), с приложением
 СНИЛС: копия или номер. Если отсутствует - нужно предоставить уникальный идентификационный номер
 Медицинская справка 086у/302н: оригинал или копия
 ИНН: копия или номер
 Фотография 3х4 4шт./цифровая
 Индивидуальные достижения: копии
При поступлении на целевое обучение:
 Договор о целевом обучении: копия с предоставлением оригинала
 Согласие представителя на заключение договора о целевом обучении: еслин на момент заключения договора абитуриенту нет 18 лет
Для поступающих по особой квоте:
 Документы, подтверждающие льготную категорию: копии (дети-инвалиды 1 и 2 групп, инвалиды с детства, инвалиды вследствие военной травмы/заболевания, полученного в период прохождения военной службы, дети-сироты/оставшиеся без попечения родителей, ветераны боевых действий).
"
Когда завершается прием документов?  ; "В бакалавриат: 10.07 (от поступающих на обучение с прохождением  вступительных испытаний) и 25.07 (от поступающих на обучение без прохождения вступительных испытаний)
В магистратуру: На места в рамках контрольных цифр приема и на места по договорам об оказании платных образовательных услуг: 01 июля – 30 июля 2022 г.
Договор о целевом обучении может быть представлен не позднее 10 августа.
Документы, подтверждающие индивидуальные достижения, могут быть представлены не позднее 10 августа.
При поступлении на места по договорам об оказании платных образовательных услуг при наличии вакантных мест прием документов завершается не позднее 14 октября 2022 г.
"
Когда закончится прием документов? ; "В бакалавриат: 10.07 (от поступающих на обучение с прохождением  вступительных испытаний) и 25.07 (от поступающих на обучение без прохождения вступительных испытаний)
В магистратуру: На места в рамках контрольных цифр приема и на места по договорам об оказании платных образовательных услуг: 01 июля – 30 июля 2022 г.
Договор о целевом обучении может быть представлен не позднее 10 августа.
Документы, подтверждающие индивидуальные достижения, могут быть представлены не позднее 10 августа.
При поступлении на места по договорам об оказании платных образовательных услуг при наличии вакантных мест прием документов завершается не позднее 14 октября 2022 г.
"
Где можно найти полную информацию о правилах приема? ; Полный текст правил приема в СВФУ 2022 можно найти по ссылке https://priem.s-vfu.ru/wp-content/uploads/2022/04/Правила-приема-БСМ-2022-08.04.2022.pdf
Каковы максимальные баллы для поступления? ; 100 баллов
Каковы минимальные баллы для поступления на программы бакалавриата? ; "Русский язык - 40 баллов ;  Обществознание - 45 баллов ;  История - 35 баллов ;  Иностранный язык - 30 баллов."
ЕГЭ за какой период принимаются при поступлении в этом году? ; Для поступления в 2022/23 учебном году используются результаты ЕГЭ, сданные в период с 2018 года по 2022 год.
Что означает наличие нескольких предметов в перечне? ; В случае если по вступительному испытанию установлены несколько предметов по выбору, поступающие выбирают один или несколько предметов (по своему усмотрению).
Когда будут проходит вступительные испытания в программы бакалавриата? ; "11 июля – 25 июля 2022г.
При поступлении на места по договорам об оказании платных
образовательных услуг, а также в случае проведения дополнительного приема, вступительные испытания могут быть проведены в несколько потоков по мере формирования групп и завершаются не позднее 21 октября 2022 г."
Когда будут проходит вступительные испытания в программы магистратуры? ; "01 августа – 10 августа 2022 г.
При поступлении на места по договорам об оказании платных
образовательных услуг, а также в случае проведения дополнительного приема, вступительные испытания могут быть проведены в несколько потоков по мере формирования групп и завершаются не позднее 21 октября 2022 г.
"
Сколько бюджетных и коммерческих мест на программы бакалавриата кафедры английской филологии? ; 1)Педагогическое образование (иностранный язык (английский)) (заочная форма обучения) - 18 бюджетных, 2 платных, 2)Педагогическое образование (с двумя профилями подготовки) (Иностранный язык (английский) и Иностранный язык (китайский))  - 25 бюджетных, 2 платных,  3) «Зарубежное регионоведение (Американские исследования) - 10 бюджетных, 10 платных.
Сколько бюджетных и коммерческих мест на программы магистратуры кафедры английской филологии? ; 1)Иностранный язык в профессиональной коммуникации (очно-заочная форма) - 10 платных, 2)Мониторинг и оценка качества языкового образования (на английском языке) - 10 бюджетных, 2 платных,  3) Технологии преподавания иностранных языков - 14 бюджетных, 1 платное.
Какая стоимость обучения в бакалавриате? ; "265,5 тыс. рублей в год (очная форма обучения), 69,0 тыс.руб. в год (заочная форма обучения), 125,0 тыс.руб. в год (сниженная стоимость, очное обучение)
Важно: Лицам, поступающим в Институт зарубежной филологии и регионоведения, при предъявлении сертификата Языкового центра Института зарубежной филологии и регионоведения о прохождении курса подготовки к ЕГЭ по иностранным языкам или международного языкового сертификата IELTS (не ниже 6.0), Кембриджские сертификаты FCE (B2) или CAE (C1)предоставляется скидка (очная форма обучения).
ВСЕ критерии сниженных расценок за обучение, информация об образовательном кредите см. на https://priem.s-vfu.ru/kommbs2022/
"
Какая цена обучения в бакалавриате? ; "265,5 тыс. рублей в год (очная форма обучения), 69,0 тыс.руб. в год (заочная форма обучения), 125,0 тыс.руб. в год (сниженная стоимость, очное обучение)
Важно: Лицам, поступающим в Институт зарубежной филологии и регионоведения, при предъявлении сертификата Языкового центра Института зарубежной филологии и регионоведения о прохождении курса подготовки к ЕГЭ по иностранным языкам или международного языкового сертификата IELTS (не ниже 6.0), Кембриджские сертификаты FCE (B2) или CAE (C1)предоставляется скидка (очная форма обучения).
ВСЕ критерии сниженных расценок за обучение, информация об образовательном кредите см. на https://priem.s-vfu.ru/kommbs2022/
"
Какая стоимость обучения в магистратуре?  ; "283,5 тыс.рублей в год (очная форма обучения), 105,0 тыс. рублей в год (очно-заочная форма обучения), 70,0 тыс.руб. в год (заочная форма обучения), 141,0 тыс. рублей в год (сниженная стоимость, очная форма обучения)

Важно: Лицам, поступающим в Институт зарубежной филологии и регионоведения, при предъявлении сертификата Языкового центра Института зарубежной филологии и регионоведения о прохождении Кембриджских сертификатов FCE (B2) или CAE (C1) (очная форма обучения).
ВСЕ критерии сниженных расценок за обучение, информация об образовательном кредите см. на https://priem.s-vfu.ru/kommbs2022/
"
Какая цена обучения в магистратуре? ; "283,5 тыс.рублей в год (очная форма обучения), 105,0 тыс. рублей в год (очно-заочная форма обучения), 70,0 тыс.руб. в год (заочная форма обучения), 141,0 тыс. рублей в год (сниженная стоимость, очная форма обучения)

Важно: Лицам, поступающим в Институт зарубежной филологии и регионоведения, при предъявлении сертификата Языкового центра Института зарубежной филологии и регионоведения о прохождении Кембриджских сертификатов FCE (B2) или CAE (C1) (очная форма обучения).
ВСЕ критерии сниженных расценок за обучение, информация об образовательном кредите см. на https://priem.s-vfu.ru/kommbs2022/
"